Item ID,Description,,Weight,Weight Unit of Measure,price
,,,,,
11324,"Fancy Mixed Nuts: Large Cashews, Unblanched Almonds, and Pecan Halves. ",R/No,8,oz,$6.45 
11314,"Fancy Mixed Nuts: Large Cashews, Unblanched Almonds, and Pecan Halves. ",R&S,8,oz,$6.45 
11414,"Bridge Mixed Nuts: Large Cashews, Unblanched Almonds, Pecan Halves, and Blanched Virginia Peanuts. ",R&S,8,oz,$5.70 
,,,8,oz,
,,,8,oz,
12134,Unblanched Whole Almonds,Raw,8,oz,$4.60 
#N/A,Unblanched Whole Almonds,Raw,8,oz,#N/A
12124,Unblanched Whole Almonds,R/No,8,oz,$4.80 
12114,Unblanched Whole Almonds,R&S,8,oz,$4.80 
,Blanched Whole Almonds,Raw,8,oz,
#N/A,Diced Dry Rst. Medium Almonds 22/8,R/No,8,oz,#N/A
,Sliced Blanched Almonds,Raw,8,oz,
12334,Sliced Natural Almonds,Raw,8,oz,$4.90 
,Sliced/Dry Roasted Almonds,R/No,8,oz,
,Slivered Blanched Almonds,Raw,8,oz,
19114,Hickory Smoked Almonds,R&S,8,oz,$4.95 
,Blanched Whole Marcona Almonds ,Raw,8,oz,
,Blanched Whole Marcona Almonds ,R&S,8,oz,
,,,8,oz,
19234,Honey Toasted Cashews,,8,oz,$5.30 
13224,Large Cashews (320 ct.),R/No,8,oz,$7.00 
13334,Large Cashews (320 ct.),Raw,8,oz,
13314,Large Cashews (320 ct.),R&S,8,oz,$7.55 
,Cashew Pieces,Raw,8,oz,
#N/A,Cashew Pieces,R/No,8,oz,#N/A
13414,Cashew Pieces,R&S,8,oz,$5.90 
,,,8,oz,
19334,Honey Toasted Pecans,,8,oz,$6.60 
14134,Pecan Halves,Raw,8,oz,$8.65 
,Pecan Halves,R/No,8,oz,
14114,Pecan Halves,R&S,8,oz,$8.85 
,Pecan Pieces _ Medium ,Raw,8,oz,
#N/A,Pecan Pieces _ Small/Medium,Raw,8,oz,#N/A
,,,8,oz,
15114,Light Walnut Halves & Pieces,Raw,8,oz,$5.40 
15124,Light Walnut Pieces,Raw,8,oz,$5.40 
,,,8,oz,
19444,Honey Roasted Peanuts,,8,oz,$3.35 
19454,Hot and Spicy Peanuts,,8,oz,$3.15 
,Spanish Peanuts (with skin),Raw,8,oz,
16114,Spanish Peanuts (with skin),R&S,8,oz,$3.05 
