Item ID,Description,,Weight,, Price
,,,,,
11322,"Fancy Mixed Nuts: Large Cashews, Unblanched Almonds, and Pecan Halves. ",R/No,5,lb,$54.85 
11312,"Fancy Mixed Nuts: Large Cashews, Unblanched Almonds, and Pecan Halves. ",R&S,5,lb,$54.85 
11412,"Bridge Mixed Nuts: Large Cashews, Unblanched Almonds, Pecan Halves, and Blanched Virginia Peanuts. ",R&S,5,lb,$47.05 
,,,,lb,
,,,,lb,
12132,Unblanched Whole Almonds,Raw,5,lb,$36.25 
#N/A,Unblanched Whole Almonds,Raw,#N/A,lb,#N/A
12122,Unblanched Whole Almonds,R/No,5,lb,$37.95 
12112,Unblanched Whole Almonds,R&S,5,lb,$37.95 
12232,Blanched Whole Almonds,Raw,5,lb,$40.15 
12622,Diced Dry Rst. Medium Almonds 22/8,R/No,5,lb,$39.05 
,Sliced Blanched Almonds,Raw,,lb,
12332,Sliced Natural Almonds,Raw,5,lb,$39.05 
12322,Sliced/Dry Roasted Almonds,R/No,5,lb,$44.05 
12532,Slivered Blanched Almonds,Raw,5,lb,$40.15 
19112,Hickory Smoked Almonds,R&S,5,lb,$39.60 
12032,Blanched Whole Marcona Almonds ,Raw,5,lb,$27.76 
12012,Blanched Whole Marcona Almonds ,R&S,5,lb,$28.76 
,,,,lb,
19232,Honey Toasted Cashews,,5,lb,$43.40 
13222,Large Cashews (320 ct.),R/No,5,lb,$65.70 
13332,Large Cashews (320 ct.),Raw,5,lb,$64.05 
13312,Large Cashews (320 ct.),R&S,5,lb,$65.70 
13432,Cashew Pieces,Raw,5,lb,$47.95 
13422,Cashew Pieces,R/No,5,lb,$49.05 
13412,Cashew Pieces,R&S,5,lb,$49.05 
,,,,lb,
19332,Honey Toasted Pecans,,5,lb,$56.25 
14132,Pecan Halves,Raw,5,lb,$76.80 
14122,Pecan Halves,R/No,5,lb,$78.50 
14112,Pecan Halves,R&S,5,lb,$78.50 
14332,Pecan Pieces _ Medium ,Raw,5,lb,$77.40 
14232,Pecan Pieces _ Small/Medium,Raw,5,lb,$77.40 
,,,,lb,
15112,Light Walnut Halves & Pieces,Raw,5,lb,$44.05 
15122,Light Walnut Pieces,Raw,5,lb,$44.05 
,,,,lb,
19442,Honey Roasted Peanuts,,5,lb,$23.50 
19452,Hot and Spicy Peanuts,,5,lb,$21.80 
16132,Spanish Peanuts (with skin),Raw,5,lb,$19.05 
16112,Spanish Peanuts (with skin),R&S,5,lb,$20.70 
16332,Blanched Virginia Peanuts,Raw,5,lb,$15.25 
16322,Blanched Virginia Peanuts,R/No,5,lb,$16.95 
16312,Blanched Virginia Peanuts,R&S,5,lb,$16.95 
16422,Granulated Peanuts - Dry Roasted,R/No,5,lb,$17.40 
,,,,lb,
17232,Hazelnuts (Filberts) Blanched,Raw,5,lb,$92.95 
17332,Hazelnuts (Filberts) Natural,Raw,5,lb,$72.40 
17432,Macadamia Nuts 90% Whole,Raw,5,lb,$113.50 
17442,Macadamia Hv. & Pcs. _ Style 4,Raw,5,lb,$105.70 
17532,Pepitas (Pumpkin Seeds),Raw,5,lb,$34.05 
17512,Pepitas (Pumpkin Seeds),R&S,5,lb,$35.70 
17632,Pine Nuts,Raw,5,lb,$66.80 
17612,Pine Nuts,R&S,5,lb,$68.50 
17732,Pistachios,Raw,5,lb,$86.25 
17812,Soy Nuts,R&S,5,lb,$16.25 
17932,Sunflower Kernels,Raw,5,lb,$14.05 
#N/A,Sunflower Kernels,Raw,#N/A,lb,#N/A
17922,Sunflower Kernels,R/No,5,lb,$15.70 
17912,Sunflower Kernels,R&S,5,lb,$15.70 
,,,,lb,
18212,Natural Pistachios,R&S,5,lb,$54.05 
18312,Pumpkin Seeds (White),R&S,5,lb,$27.95 
,,,,lb,
