Item ID,Description,,Case Weight old,Weight,Case Price Per Pound,price,,,,,,,,,
MIXED NUTS,,,,,,,,,,,,,,,
11321,"Fancy Mixed Nuts: Large Cashews, Unblanched Almonds, and Pecan Halves. ",R/No,25 lb.,25 ,$10.72,$267.90,,,,,,,,,
11311,"Fancy Mixed Nuts: Large Cashews, Unblanched Almonds, and Pecan Halves. ",R&S,25 lb.,25 ,$10.72,$267.90,,,,,,,,,
11411,"Bridge Mixed Nuts: Large Cashews, Unblanched Almonds, Pecan Halves, and Blanched Virginia Peanuts. ",R&S,25 lb.,25 ,$9.16,$228.95,,,,,,,,,
ALMONDS ,,,,,,$0.00,,,,,,,,,
UNBLANCHED=WITH SKIN          BLANCHED=WITHOUT SKIN,,,,,,$0.00,,,,,,,,,
12135,Unblanched Whole Almonds,Raw,50 lb.,50 ,$7.00,$350.00,,,,,,,,,
12131,Unblanched Whole Almonds,Raw,25 lb.,25 ,$7.00,$175.00,,,,,,,,,
12121,Unblanched Whole Almonds,R/No,30 lb.,30 ,$7.33,$220.00,,,,,,,,,
12111,Unblanched Whole Almonds,R&S,30 lb.,30 ,$7.33,$220.00,,,,,,,,,
12231,Blanched Whole Almonds,Raw,25 lb.,25 ,$7.78,$194.45,,,,,,,,,
12621,Diced Dry Rst. Medium Almonds 22/8,R/No,25 lb.,25 ,$7.56,$188.90,,,,,,,,,
12431,Sliced Blanched Almonds,Raw,25 lb.,25 ,$5.47,$136.75,,,,,,,,,
12331,Sliced Natural Almonds,Raw,25 lb.,25 ,$7.56,$189.00,,,,,,,,,
12321,Sliced/Dry Roasted Almonds,R/No,45 lb.,45 ,$8.56,$385.00,,,,,,,,,
12531,Slivered Blanched Almonds,Raw,25 lb.,25 ,$7.78,$194.45,,,,,,,,,
19111,Hickory Smoked Almonds,R&S,25 lb.,25 ,$7.67,$191.65,,,,,,,,,
12031,Blanched Whole Marcona Almonds ,Raw,25 lb.,,$5.40,$0.00,,,,,,,,,
12011,Blanched Whole Marcona Almonds ,R&S,30 lb.,,$5.60,$0.00,,,,,,,,,
CASHEWS,,,,,,$0.00,,,,,,,,,
19231,Honey Toasted Cashews,,20 lb.,20 ,$8.42,$168.45,,,,,,,,,
13221,Large Cashews (320 ct.),R/No,30 lb.,30 ,$12.89,$386.65,,,,,,,,,
13331,Large Cashews (320 ct.),Raw,25 lb.,25 ,$12.56,$313.90,,,,,,,,,
13311,Large Cashews (320 ct.),R&S,30 lb.,30 ,$12.89,$386.65,,,,,,,,,
13431,Cashew Pieces,Raw,25 lb.,25 ,$9.33,$233.35,,,,,,,,,
13421,Cashew Pieces,R/No,30 lb.,30 ,$9.56,$286.65,,,,,,,,,
13411,Cashew Pieces,R&S,30 lb.,30 ,$9.56,$286.65,,,,,,,,,
PECANS,,,,,,$0.00,,,,,,,,,
19331,Honey Toasted Pecans,,20 lb.,20 ,$11.00,$220.00,,,,,,,,,
14131,Pecan Halves,Raw,30 lb.,30 ,$15.11,$453.35,,,,,,,,,
14121,Pecan Halves,R/No,25 lb.,25 ,$15.44,$386.10,,,,,,,,,
14111,Pecan Halves,R&S,25 lb.,25 ,$15.44,$386.10,,,,,,,,,
14331,Pecan Pieces – Medium ,Raw,30 lb.,30 ,$15.22,$456.65,,,,,,,,,
